,Unnamed: 0,count,hate_speech,offensive_language,neither,label,sentence1
0,0,3,0,0,3,2,RT mayasolovely As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,1,3,0,3,0,1,RT mleew17 boy dats coldtyga dwn bad for cuffin dat  in the 1st place
2,2,3,0,3,0,1,RT UrKindOfBrand Dawg RT 80sbaby4life You ever  a  and she start to cry You be confused as shit
3,3,3,0,2,1,1,RT CGAnderson vivabased she look like a tranny
4,4,6,0,6,0,1,RT ShenikaRoberts The shit you hear about me might be true or it might be faker than the  who told it to ya 57361
5,5,3,1,2,0,1,TMadisonx The shit just blows meclaim you so faithful and down for somebody but still  with  128514128514128514
6,6,3,0,3,0,1,BrighterDays I can not just sit up and HATE on another   I got too much shit going on
7,7,3,0,3,0,1,8220selfiequeenbri cause Im tired of you big  coming for us skinny girls8221
8,8,3,0,3,0,1,amp you might not get ya  back amp thats that
9,9,3,1,2,0,1,rhythmixx hobbies include fighting Mariam
10,10,3,0,3,0,1,Keeks is a  she curves everyone  lol I walked into a conversation like this Smh
11,11,3,0,3,0,1,Murda Gang  its Gang Land
12,12,3,0,2,1,1,So  that smoke are losers   yea  go on IG
13,13,3,0,3,0,1,bad  is the only thing that i like
14,14,3,1,2,0,1,get up off me
15,15,3,0,3,0,1,miss me with it
16,16,3,0,3,0,1,plz whatever
17,17,3,1,2,0,1,who do you love
18,18,3,0,3,0,1,get cut off everyday B
19,19,3,0,3,0,1,black bottle amp a bad
20,20,3,0,3,0,1,broke  cant tell me nothing
21,21,3,0,3,0,1,cancel that  like Nino
22,22,3,0,3,0,1,cant you see these  wont change
23,23,3,0,3,0,1,no that  dont even suck dick  128514128514128514 the Kermit videos bout to  IG up
24,24,3,0,3,0,1,got ya  tip toeing on my hardwood floors  128514 httptcocOU2WQ5L4q
25,25,3,0,2,1,1,her  lips like Heaven doors  128524
26,26,3,0,3,0,1,what its hitting for
27,27,3,0,3,0,1,i met that  on Ocean Dr  i gave that  a pill  128524
28,28,3,0,3,0,1,i need a trippy  who  on Hennessy
29,29,3,0,3,0,1,i spend my money how i want  its my business
30,30,3,0,3,0,1,i txt my old  my new   wetter
31,31,3,0,3,0,1,id say im back to the old me but my old  would get excited  128524
32,32,3,0,3,0,1,if you aint bout that Murder Game   shut up
33,33,3,0,3,0,1,if youre toes aint done you  stinks
34,34,3,0,3,0,1,im done with bitter  its a wrap for that  if you a angry bird theres a app for that
35,35,3,0,3,0,1,is that ya
36,36,3,0,3,0,1,it aint nothing to cut a  off
37,37,3,0,3,0,1,jus meet son now he ya mane ass   Shots
38,38,3,0,2,1,1,lames crying over  thats tears of a clown
39,39,3,0,3,0,1,like Snoop said in 94 we dont love these
40,40,3,0,1,2,2,momma said no  cats inside my doghouse
41,41,3,0,3,0,1,most hated but the  favorite  2MW SevenOne  httptcoBMdSVMc3rC
42,42,3,0,3,0,1,nice girls bad make me get naughty Bad yello  real nice body Down south chick like em real thick httptcobzRDl3kF7U
43,43,3,0,3,0,1,pimps up pimps up  down  Future voice
44,44,3,0,3,0,1,post a picture of that  get 200 likes
45,45,3,0,3,0,1,is a powerful drug  128517 HappyHumpDay httptcoR8jsymiB5b
46,46,3,0,3,0,1,quick piece of  call it a drive by
47,47,3,0,3,0,1,running round here like some brand new  thats bout to get
