,Unnamed: 0.1,Unnamed: 0,count,hate_speech,offensive_language,neither,label,sentence1,H_yb,H_yx,correct_yx,predicted_label,PVI
0,0,0,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
1,1,1,3,0,3,0,1,hoe,0.3735175939521451,0.054838306944896366,True,1,0.31867928700724873
2,2,2,3,0,3,0,1,fuck  bitch,0.3735175939521451,0.034375632293572905,True,1,0.33914196165857224
3,3,3,3,0,2,1,1, ,0.3735175939521451,2.1398356005402164,False,2,-1.7663180065880713
4,4,4,6,0,6,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
5,5,5,3,1,2,0,1,fucking  hoes,0.3735175939521451,0.027634014179748666,True,1,0.3458835797723965
6,6,6,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
7,7,7,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
8,8,8,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
9,9,9,3,1,2,0,1, ,0.3735175939521451,2.1398356005402164,False,2,-1.7663180065880713
10,10,10,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
11,11,11,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
12,12,12,3,0,2,1,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
13,13,13,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
14,14,14,3,1,2,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
15,15,15,3,0,3,0,1,bitch nigga,0.3735175939521451,0.08818910252699068,True,1,0.28532849142515443
16,16,16,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
17,17,17,3,1,2,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
18,18,18,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
19,19,19,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
20,20,20,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
21,21,21,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
22,22,22,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
23,23,23,3,0,3,0,1,fuck   bitch            fuck,0.3735175939521451,0.06098267239109952,True,1,0.3125349215610456
24,24,24,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
25,25,25,3,0,2,1,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
26,26,26,3,0,3,0,1,hoe,0.3735175939521451,0.054838306944896366,True,1,0.31867928700724873
27,27,27,3,0,3,0,1,pussy        pussy,0.3735175939521451,0.013741641500788045,True,1,0.3597759524513571
28,28,28,3,0,3,0,1,bitch  fuck,0.3735175939521451,0.012770429601179648,True,1,0.3607471643509655
29,29,29,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
30,30,30,3,0,3,0,1,bitch   bitch pussy,0.3735175939521451,0.024760588831952517,True,1,0.3487570051201926
31,31,31,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
32,32,32,3,0,3,0,1,pussy nigga,0.3735175939521451,0.18087584416102023,True,1,0.1926417497911249
33,33,33,3,0,3,0,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
34,34,34,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
35,35,35,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
36,36,36,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
37,37,37,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
38,38,38,3,0,2,1,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
39,39,39,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
40,40,40,3,0,1,2,2,pussy,2.5570495457895346,8.310717840515938,False,1,-5.7536682947264035
41,41,41,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
42,42,42,3,0,3,0,1,hoe,0.3735175939521451,0.054838306944896366,True,1,0.31867928700724873
43,43,43,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
44,44,44,3,0,3,0,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
45,45,45,3,0,3,0,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
46,46,46,3,0,3,0,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
47,47,47,3,0,3,0,1,pussy     fucked,0.3735175939521451,0.04183610694020317,True,1,0.33168148701194194
48,48,48,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
49,49,49,3,1,2,0,1,hoes  niggas,0.3735175939521451,0.08603157015831954,True,1,0.2874860237938256
50,50,50,3,1,2,0,1,niggas   bitches,0.3735175939521451,0.1084043762333187,True,1,0.26511321771882645
51,51,51,3,0,3,0,1,niggas   hoes      bitches,0.3735175939521451,0.12494166478248268,True,1,0.24857592916966242
52,52,52,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
53,53,53,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
54,54,54,3,0,2,1,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
55,55,55,3,0,3,0,1,niggas      bitches,0.3735175939521451,0.09242814707186528,True,1,0.2810894468802798
56,56,56,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
57,57,57,3,0,3,0,1,hoe,0.3735175939521451,0.054838306944896366,True,1,0.31867928700724873
58,58,58,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
59,59,59,3,0,3,0,1,fuck  bitches,0.3735175939521451,0.01757680804228059,True,1,0.35594078590986455
60,60,60,3,0,2,1,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
61,61,61,3,0,3,0,1,fucking fag,0.3735175939521451,0.9123625158803629,True,1,-0.5388449219282178
62,62,62,3,0,3,0,1,pussy             pussy,0.3735175939521451,0.019697486003574433,True,1,0.35382010794857066
63,63,63,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
64,64,64,3,0,3,0,1,bitch   bitches,0.3735175939521451,0.021129235379583677,True,1,0.35238835857256146
65,65,65,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
66,66,66,3,0,1,2,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
67,67,67,3,0,1,2,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
68,68,68,3,0,3,0,1,bitch fuck,0.3735175939521451,0.04530038974290594,True,1,0.32821720420923917
69,69,69,3,1,2,0,1,Fuck    bitch  niggah,0.3735175939521451,0.18053646796131895,True,1,0.19298112599082617
70,70,70,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
71,71,71,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
72,72,72,3,0,3,0,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
73,73,73,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
74,74,74,3,1,2,0,1,fuck       faggots,0.3735175939521451,1.2164397870745922,False,0,-0.8429221931224471
75,75,75,3,0,1,2,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
76,76,76,3,0,3,0,1, ,0.3735175939521451,2.1398356005402164,False,2,-1.7663180065880713
77,77,77,3,1,2,0,1,nigga        pussy,0.3735175939521451,0.060605426305133436,True,1,0.3129121676470117
78,78,78,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
79,79,79,3,1,2,0,1,nigga,0.3735175939521451,0.134743419191774,True,1,0.23877417476037113
80,80,80,9,0,7,2,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
81,81,81,3,0,3,0,1,Bitches      niggas         niggas   bitches,0.3735175939521451,0.05844547157567376,True,1,0.31507212237647136
82,82,82,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
83,83,83,3,1,2,0,1,hoe,0.3735175939521451,0.054838306944896366,True,1,0.31867928700724873
84,84,84,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
85,85,85,3,2,1,0,0, ,4.103354124363732,4.6812630270047,False,2,-0.5779089026409681
86,86,87,3,0,3,0,1,faggot,0.3735175939521451,0.9837492191110114,True,1,-0.6102316251588663
87,87,88,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
88,88,89,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
89,89,90,3,3,0,0,0,beaner,4.103354124363732,0.799307744478706,True,0,3.304046379885026
90,90,91,3,1,2,0,1,nigs,0.3735175939521451,0.12050938884037381,True,1,0.2530082051117713
91,91,92,6,1,5,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
92,92,93,3,1,2,0,1,nigga    hoe       nigga,0.3735175939521451,0.19019606101782333,True,1,0.1833215329343218
93,93,94,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
94,94,95,3,1,2,0,1,nig,0.3735175939521451,0.36718791145225665,True,1,0.006329682499888467
95,95,96,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
96,96,97,3,0,3,0,1,fuck  bitch,0.3735175939521451,0.034375632293572905,True,1,0.33914196165857224
97,97,98,3,0,3,0,1,retard,0.3735175939521451,0.23991022831645117,True,1,0.13360736563569395
98,98,99,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
99,99,100,3,1,2,0,1,pussy,0.3735175939521451,0.01692742149414544,True,1,0.3565901724579997
100,100,101,3,0,3,0,1,nigga,0.3735175939521451,0.134743419191774,True,1,0.23877417476037113
101,101,102,3,0,3,0,1, ,0.3735175939521451,2.1398356005402164,False,2,-1.7663180065880713
102,102,103,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
103,103,104,3,0,2,1,1,retard,0.3735175939521451,0.23991022831645117,True,1,0.13360736563569395
104,104,105,3,0,3,0,1,hoe,0.3735175939521451,0.054838306944896366,True,1,0.31867928700724873
105,105,106,3,0,3,0,1,hoes,0.3735175939521451,0.01855012969752942,True,1,0.35496746425461567
106,106,107,3,0,3,0,1,Pussy  pussy,0.3735175939521451,0.0248184142106995,True,1,0.3486991797414456
107,107,108,3,0,3,0,1,faggot,0.3735175939521451,0.9837492191110114,True,1,-0.6102316251588663
108,108,109,3,0,3,0,1,bitches            bitch,0.3735175939521451,0.023425738264362554,True,1,0.35009185568778256
109,109,110,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
110,110,111,3,3,0,0,0,fucking   hoe,4.103354124363732,4.178895878901043,False,1,-0.07554175453731116
111,111,112,3,0,3,0,1,fuck     bitches,0.3735175939521451,0.018660843305260803,True,1,0.3548567506468843
112,112,113,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
113,113,114,3,1,2,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
114,114,115,3,0,3,0,1,bitches,0.3735175939521451,0.010917300070696053,True,1,0.36260029388144904
115,115,116,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
116,116,117,3,0,3,0,1,bitch   fuck,0.3735175939521451,0.023455192030011736,True,1,0.3500624019221334
117,117,118,3,0,3,0,1,bitch,0.3735175939521451,0.016205189653029035,True,1,0.3573124042991161
118,118,119,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
119,119,120,3,0,1,2,2,pussy,2.5570495457895346,8.310717840515938,False,1,-5.7536682947264035
120,120,121,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
121,121,122,3,0,3,0,1,fag,0.3735175939521451,0.6738294894872027,True,1,-0.30031189553505755
122,122,123,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
123,123,124,3,0,3,0,1,faggot,0.3735175939521451,0.9837492191110114,True,1,-0.6102316251588663
124,124,125,3,0,0,3,2, ,2.5570495457895346,0.44591579707967427,True,2,2.1111337487098605
